A new study created in memory with name: PCA_LGBM
Trial 0 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 27, 'max_depth': 20, 'min_child_samples': 3}. Best is trial 0 with value: 0.8333333333333334.
Trial 33 finished with value: 0.8333333333333333 and parameters: {'l1_ratio': 0.6847201511054116, 'C': 0.17614861271388396}. Best is trial 31 with value: 0.8333333333333333.
Trial 34 finished with value: 0.8166666666666668 and parameters: {'l1_ratio': 0.6757493753379173, 'C': 0.18933677600199258}. Best is trial 31 with value: 0.8333333333333333.
Trial 35 finished with value: 0.8333333333333334 and parameters: {'l1_ratio': 0.7999316611769905, 'C': 0.15897151157490055}. Best is trial 35 with value: 0.8333333333333334.
Trial 36 finished with value: 0.7833333333333334 and parameters: {'l1_ratio': 0.7776907381483479, 'C': 0.39354733388583035}. Best is trial 35 with value: 0.8333333333333334.
Trial 37 finished with value: 0.8333333333333333 and parameters: {'l1_ratio': 0.834846942106802, 'C': 0.20923835465688706}. Best is trial 35 with value: 0.8333333333333334.
Trial 38 finished with value: 0.8333333333333334 and parameters: {'l1_ratio': 0.6779578812230916, 'C': 0.15165565289000912}. Best is trial 35 with value: 0.8333333333333334.
Trial 39 finished with value: 0.8333333333333334 and parameters: {'l1_ratio': 0.7385957253400205, 'C': 0.13321561225070197}. Best is trial 35 with value: 0.8333333333333334.
Trial 40 finished with value: 0.8166666666666668 and parameters: {'l1_ratio': 0.7409590020688005, 'C': 0.09468101706990374}. Best is trial 35 with value: 0.8333333333333334.
Trial 41 finished with value: 0.8333333333333334 and parameters: {'l1_ratio': 0.6413253268861479, 'C': 0.14406567330728062}. Best is trial 35 with value: 0.8333333333333334.
Trial 42 finished with value: 0.8333333333333334 and parameters: {'l1_ratio': 0.8534235393886159, 'C': 0.13480778226932272}. Best is trial 35 with value: 0.8333333333333334.
Trial 43 finished with value: 0.8166666666666668 and parameters: {'l1_ratio': 0.8682875989302755, 'C': 0.12034575109764968}. Best is trial 35 with value: 0.8333333333333334.
Trial 44 finished with value: 0.8 and parameters: {'l1_ratio': 0.7430230552941275, 'C': 0.23425702738509865}. Best is trial 35 with value: 0.8333333333333334.
Trial 45 finished with value: 0.8 and parameters: {'l1_ratio': 0.8937298532288245, 'C': 0.09874720637379165}. Best is trial 35 with value: 0.8333333333333334.
Trial 46 finished with value: 0.8333333333333334 and parameters: {'l1_ratio': 0.7955359329653602, 'C': 0.14156133281303995}. Best is trial 35 with value: 0.8333333333333334.
Trial 47 finished with value: 0.8166666666666668 and parameters: {'l1_ratio': 0.994696821893365, 'C': 0.1363402351366613}. Best is trial 35 with value: 0.8333333333333334.
Trial 48 finished with value: 0.8166666666666668 and parameters: {'l1_ratio': 0.7655100001232957, 'C': 0.22337882675157017}. Best is trial 35 with value: 0.8333333333333334.
Trial 49 finished with value: 0.8 and parameters: {'l1_ratio': 0.8267114813443294, 'C': 0.09161425524442408}. Best is trial 35 with value: 0.8333333333333334.
A new study created in memory with name: PCA_LGBM
Trial 0 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 43, 'max_depth': 12, 'min_child_samples': 2}. Best is trial 0 with value: 0.8666666666666666.
Trial 1 finished with value: 0.888888888888889 and parameters: {'num_leaves': 83, 'max_depth': 3, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 2 finished with value: 0.7777777777777778 and parameters: {'num_leaves': 77, 'max_depth': 10, 'min_child_samples': 3}. Best is trial 1 with value: 0.888888888888889.
Trial 3 finished with value: 0.8222222222222222 and parameters: {'num_leaves': 82, 'max_depth': 9, 'min_child_samples': 4}. Best is trial 1 with value: 0.888888888888889.
Trial 4 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 91, 'max_depth': 10, 'min_child_samples': 2}. Best is trial 1 with value: 0.888888888888889.
Trial 5 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 32, 'max_depth': 9, 'min_child_samples': 2}. Best is trial 1 with value: 0.888888888888889.
Trial 6 finished with value: 0.8222222222222222 and parameters: {'num_leaves': 17, 'max_depth': 15, 'min_child_samples': 4}. Best is trial 1 with value: 0.888888888888889.
Trial 7 finished with value: 0.8222222222222222 and parameters: {'num_leaves': 45, 'max_depth': 7, 'min_child_samples': 4}. Best is trial 1 with value: 0.888888888888889.
Trial 8 finished with value: 0.8222222222222222 and parameters: {'num_leaves': 27, 'max_depth': 18, 'min_child_samples': 4}. Best is trial 1 with value: 0.888888888888889.
Trial 9 finished with value: 0.8 and parameters: {'num_leaves': 51, 'max_depth': 4, 'min_child_samples': 4}. Best is trial 1 with value: 0.888888888888889.
Trial 10 finished with value: 0.888888888888889 and parameters: {'num_leaves': 67, 'max_depth': 3, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 11 finished with value: 0.888888888888889 and parameters: {'num_leaves': 65, 'max_depth': 3, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 12 finished with value: 0.888888888888889 and parameters: {'num_leaves': 68, 'max_depth': 5, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 13 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 94, 'max_depth': 6, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 14 finished with value: 0.888888888888889 and parameters: {'num_leaves': 76, 'max_depth': 3, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 15 finished with value: 0.7777777777777778 and parameters: {'num_leaves': 63, 'max_depth': 13, 'min_child_samples': 3}. Best is trial 1 with value: 0.888888888888889.
Trial 16 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 98, 'max_depth': 7, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 17 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 86, 'max_depth': 20, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 18 finished with value: 0.7777777777777778 and parameters: {'num_leaves': 57, 'max_depth': 5, 'min_child_samples': 3}. Best is trial 1 with value: 0.888888888888889.
Trial 19 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 72, 'max_depth': 15, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 20 finished with value: 0.8222222222222222 and parameters: {'num_leaves': 84, 'max_depth': 8, 'min_child_samples': 4}. Best is trial 1 with value: 0.888888888888889.
Trial 21 finished with value: 0.888888888888889 and parameters: {'num_leaves': 61, 'max_depth': 3, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 22 finished with value: 0.888888888888889 and parameters: {'num_leaves': 68, 'max_depth': 3, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 23 finished with value: 0.888888888888889 and parameters: {'num_leaves': 55, 'max_depth': 5, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 24 finished with value: 0.8666666666666668 and parameters: {'num_leaves': 77, 'max_depth': 4, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 25 finished with value: 0.8222222222222222 and parameters: {'num_leaves': 65, 'max_depth': 6, 'min_child_samples': 4}. Best is trial 1 with value: 0.888888888888889.
Trial 26 finished with value: 0.888888888888889 and parameters: {'num_leaves': 50, 'max_depth': 3, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 27 finished with value: 0.8222222222222222 and parameters: {'num_leaves': 90, 'max_depth': 6, 'min_child_samples': 4}. Best is trial 1 with value: 0.888888888888889.
Trial 28 finished with value: 0.8666666666666668 and parameters: {'num_leaves': 73, 'max_depth': 4, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 29 finished with value: 0.7777777777777778 and parameters: {'num_leaves': 38, 'max_depth': 12, 'min_child_samples': 3}. Best is trial 1 with value: 0.888888888888889.
Trial 30 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 99, 'max_depth': 7, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 31 finished with value: 0.888888888888889 and parameters: {'num_leaves': 69, 'max_depth': 5, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 32 finished with value: 0.8666666666666668 and parameters: {'num_leaves': 61, 'max_depth': 4, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 33 finished with value: 0.888888888888889 and parameters: {'num_leaves': 79, 'max_depth': 5, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 34 finished with value: 0.8222222222222222 and parameters: {'num_leaves': 71, 'max_depth': 3, 'min_child_samples': 4}. Best is trial 1 with value: 0.888888888888889.
Trial 35 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 83, 'max_depth': 9, 'min_child_samples': 2}. Best is trial 1 with value: 0.888888888888889.
Trial 36 finished with value: 0.8666666666666668 and parameters: {'num_leaves': 67, 'max_depth': 4, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 37 finished with value: 0.8222222222222222 and parameters: {'num_leaves': 89, 'max_depth': 8, 'min_child_samples': 4}. Best is trial 1 with value: 0.888888888888889.
Trial 38 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 52, 'max_depth': 10, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 39 finished with value: 0.8222222222222222 and parameters: {'num_leaves': 78, 'max_depth': 6, 'min_child_samples': 4}. Best is trial 1 with value: 0.888888888888889.
Trial 40 finished with value: 0.888888888888889 and parameters: {'num_leaves': 42, 'max_depth': 5, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 41 finished with value: 0.888888888888889 and parameters: {'num_leaves': 74, 'max_depth': 3, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 42 finished with value: 0.888888888888889 and parameters: {'num_leaves': 80, 'max_depth': 3, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 43 finished with value: 0.8666666666666668 and parameters: {'num_leaves': 64, 'max_depth': 4, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 44 finished with value: 0.888888888888889 and parameters: {'num_leaves': 75, 'max_depth': 3, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 45 finished with value: 0.888888888888889 and parameters: {'num_leaves': 60, 'max_depth': 5, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 46 finished with value: 0.8222222222222222 and parameters: {'num_leaves': 15, 'max_depth': 14, 'min_child_samples': 4}. Best is trial 1 with value: 0.888888888888889.
Trial 47 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 94, 'max_depth': 17, 'min_child_samples': 5}. Best is trial 1 with value: 0.888888888888889.
Trial 48 finished with value: 0.8222222222222222 and parameters: {'num_leaves': 86, 'max_depth': 7, 'min_child_samples': 4}. Best is trial 1 with value: 0.888888888888889.
Trial 49 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 56, 'max_depth': 11, 'min_child_samples': 2}. Best is trial 1 with value: 0.888888888888889.
A new study created in memory with name: SPCA_LGBM
Trial 0 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 36, 'max_depth': 15, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 1 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 72, 'max_depth': 5, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 2 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 35, 'max_depth': 17, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 3 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 17, 'max_depth': 11, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 4 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 41, 'max_depth': 9, 'min_child_samples': 5}. Best is trial 0 with value: 0.9333333333333332.
Trial 5 finished with value: 0.888888888888889 and parameters: {'num_leaves': 95, 'max_depth': 4, 'min_child_samples': 2}. Best is trial 0 with value: 0.9333333333333332.
Trial 6 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 68, 'max_depth': 17, 'min_child_samples': 4}. Best is trial 0 with value: 0.9333333333333332.
Trial 7 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 77, 'max_depth': 15, 'min_child_samples': 5}. Best is trial 0 with value: 0.9333333333333332.
Trial 8 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 51, 'max_depth': 14, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 9 finished with value: 0.9111111111111111 and parameters: {'num_leaves': 61, 'max_depth': 3, 'min_child_samples': 4}. Best is trial 0 with value: 0.9333333333333332.
Trial 10 finished with value: 0.888888888888889 and parameters: {'num_leaves': 15, 'max_depth': 19, 'min_child_samples': 2}. Best is trial 0 with value: 0.9333333333333332.
Trial 11 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 84, 'max_depth': 7, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 12 finished with value: 0.888888888888889 and parameters: {'num_leaves': 33, 'max_depth': 12, 'min_child_samples': 2}. Best is trial 0 with value: 0.9333333333333332.
Trial 13 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 52, 'max_depth': 6, 'min_child_samples': 4}. Best is trial 0 with value: 0.9333333333333332.
Trial 14 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 71, 'max_depth': 10, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 15 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 96, 'max_depth': 13, 'min_child_samples': 4}. Best is trial 0 with value: 0.9333333333333332.
Trial 16 finished with value: 0.888888888888889 and parameters: {'num_leaves': 26, 'max_depth': 20, 'min_child_samples': 2}. Best is trial 0 with value: 0.9333333333333332.
Trial 17 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 49, 'max_depth': 8, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 18 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 84, 'max_depth': 16, 'min_child_samples': 4}. Best is trial 0 with value: 0.9333333333333332.
Trial 19 finished with value: 0.888888888888889 and parameters: {'num_leaves': 65, 'max_depth': 5, 'min_child_samples': 2}. Best is trial 0 with value: 0.9333333333333332.
Trial 20 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 42, 'max_depth': 12, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 21 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 30, 'max_depth': 17, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 22 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 40, 'max_depth': 18, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 23 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 23, 'max_depth': 15, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 24 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 36, 'max_depth': 14, 'min_child_samples': 4}. Best is trial 0 with value: 0.9333333333333332.
Trial 25 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 56, 'max_depth': 20, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 26 finished with value: 0.888888888888889 and parameters: {'num_leaves': 45, 'max_depth': 18, 'min_child_samples': 2}. Best is trial 0 with value: 0.9333333333333332.
Trial 27 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 77, 'max_depth': 16, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 28 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 58, 'max_depth': 13, 'min_child_samples': 4}. Best is trial 0 with value: 0.9333333333333332.
Trial 29 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 21, 'max_depth': 10, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 30 finished with value: 0.888888888888889 and parameters: {'num_leaves': 28, 'max_depth': 16, 'min_child_samples': 2}. Best is trial 0 with value: 0.9333333333333332.
Trial 31 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 15, 'max_depth': 11, 'min_child_samples': 3}. Best is trial 0 with value: 0.9333333333333332.
Trial 32 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 38, 'max_depth': 8, 'min_child_samples': 5}. Best is trial 0 with value: 0.9333333333333332.
Trial 33 finished with value: 0.9555555555555555 and parameters: {'num_leaves': 20, 'max_depth': 3, 'min_child_samples': 3}. Best is trial 33 with value: 0.9555555555555555.
Trial 34 finished with value: 0.9555555555555555 and parameters: {'num_leaves': 34, 'max_depth': 3, 'min_child_samples': 3}. Best is trial 33 with value: 0.9555555555555555.
Trial 35 finished with value: 0.9555555555555555 and parameters: {'num_leaves': 20, 'max_depth': 3, 'min_child_samples': 3}. Best is trial 33 with value: 0.9555555555555555.
Trial 36 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 20, 'max_depth': 4, 'min_child_samples': 3}. Best is trial 33 with value: 0.9555555555555555.
Trial 37 finished with value: 0.9555555555555555 and parameters: {'num_leaves': 33, 'max_depth': 3, 'min_child_samples': 3}. Best is trial 33 with value: 0.9555555555555555.
Trial 38 finished with value: 0.9555555555555555 and parameters: {'num_leaves': 32, 'max_depth': 3, 'min_child_samples': 3}. Best is trial 33 with value: 0.9555555555555555.
Trial 39 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 24, 'max_depth': 5, 'min_child_samples': 3}. Best is trial 33 with value: 0.9555555555555555.
Trial 40 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 19, 'max_depth': 4, 'min_child_samples': 4}. Best is trial 33 with value: 0.9555555555555555.
Trial 41 finished with value: 0.9555555555555555 and parameters: {'num_leaves': 32, 'max_depth': 3, 'min_child_samples': 3}. Best is trial 33 with value: 0.9555555555555555.
Trial 42 finished with value: 0.9555555555555555 and parameters: {'num_leaves': 27, 'max_depth': 3, 'min_child_samples': 3}. Best is trial 33 with value: 0.9555555555555555.
Trial 43 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 35, 'max_depth': 6, 'min_child_samples': 3}. Best is trial 33 with value: 0.9555555555555555.
Trial 44 finished with value: 0.9555555555555555 and parameters: {'num_leaves': 45, 'max_depth': 3, 'min_child_samples': 3}. Best is trial 33 with value: 0.9555555555555555.
Trial 45 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 30, 'max_depth': 4, 'min_child_samples': 3}. Best is trial 33 with value: 0.9555555555555555.
Trial 46 finished with value: 0.888888888888889 and parameters: {'num_leaves': 18, 'max_depth': 5, 'min_child_samples': 2}. Best is trial 33 with value: 0.9555555555555555.
Trial 47 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 23, 'max_depth': 6, 'min_child_samples': 3}. Best is trial 33 with value: 0.9555555555555555.
Trial 48 finished with value: 0.9333333333333332 and parameters: {'num_leaves': 32, 'max_depth': 4, 'min_child_samples': 4}. Best is trial 33 with value: 0.9555555555555555.
Trial 49 finished with value: 0.9555555555555555 and parameters: {'num_leaves': 26, 'max_depth': 3, 'min_child_samples': 3}. Best is trial 33 with value: 0.9555555555555555.
A new study created in memory with name: GSPCA_LGBM
Trial 0 finished with value: 0.7333333333333332 and parameters: {'num_leaves': 69, 'max_depth': 17, 'min_child_samples': 2}. Best is trial 0 with value: 0.7333333333333332.
Trial 1 finished with value: 0.711111111111111 and parameters: {'num_leaves': 62, 'max_depth': 15, 'min_child_samples': 5}. Best is trial 0 with value: 0.7333333333333332.
Trial 2 finished with value: 0.7333333333333332 and parameters: {'num_leaves': 71, 'max_depth': 12, 'min_child_samples': 2}. Best is trial 0 with value: 0.7333333333333332.
Trial 3 finished with value: 0.711111111111111 and parameters: {'num_leaves': 19, 'max_depth': 16, 'min_child_samples': 5}. Best is trial 0 with value: 0.7333333333333332.
Trial 4 finished with value: 0.711111111111111 and parameters: {'num_leaves': 24, 'max_depth': 17, 'min_child_samples': 5}. Best is trial 0 with value: 0.7333333333333332.
Trial 5 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 59, 'max_depth': 8, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 6 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 97, 'max_depth': 8, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 7 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 27, 'max_depth': 7, 'min_child_samples': 4}. Best is trial 5 with value: 0.7777777777777777.
Trial 8 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 28, 'max_depth': 14, 'min_child_samples': 4}. Best is trial 5 with value: 0.7777777777777777.
Trial 9 finished with value: 0.711111111111111 and parameters: {'num_leaves': 42, 'max_depth': 18, 'min_child_samples': 5}. Best is trial 5 with value: 0.7777777777777777.
Trial 10 finished with value: 0.7333333333333333 and parameters: {'num_leaves': 85, 'max_depth': 4, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 11 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 100, 'max_depth': 8, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 12 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 47, 'max_depth': 9, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 13 finished with value: 0.711111111111111 and parameters: {'num_leaves': 97, 'max_depth': 3, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 14 finished with value: 0.7333333333333332 and parameters: {'num_leaves': 83, 'max_depth': 6, 'min_child_samples': 2}. Best is trial 5 with value: 0.7777777777777777.
Trial 15 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 43, 'max_depth': 11, 'min_child_samples': 4}. Best is trial 5 with value: 0.7777777777777777.
Trial 16 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 55, 'max_depth': 10, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 17 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 88, 'max_depth': 5, 'min_child_samples': 4}. Best is trial 5 with value: 0.7777777777777777.
Trial 18 finished with value: 0.7333333333333332 and parameters: {'num_leaves': 76, 'max_depth': 20, 'min_child_samples': 2}. Best is trial 5 with value: 0.7777777777777777.
Trial 19 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 58, 'max_depth': 12, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 20 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 37, 'max_depth': 8, 'min_child_samples': 4}. Best is trial 5 with value: 0.7777777777777777.
Trial 21 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 99, 'max_depth': 8, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 22 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 93, 'max_depth': 6, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 23 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 79, 'max_depth': 10, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 24 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 94, 'max_depth': 8, 'min_child_samples': 2}. Best is trial 5 with value: 0.7777777777777777.
Trial 25 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 90, 'max_depth': 13, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 26 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 69, 'max_depth': 10, 'min_child_samples': 4}. Best is trial 5 with value: 0.7777777777777777.
Trial 27 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 77, 'max_depth': 6, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 28 finished with value: 0.7333333333333332 and parameters: {'num_leaves': 99, 'max_depth': 4, 'min_child_samples': 2}. Best is trial 5 with value: 0.7777777777777777.
Trial 29 finished with value: 0.7333333333333332 and parameters: {'num_leaves': 62, 'max_depth': 9, 'min_child_samples': 2}. Best is trial 5 with value: 0.7777777777777777.
Trial 30 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 50, 'max_depth': 7, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 31 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 49, 'max_depth': 9, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 32 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 66, 'max_depth': 9, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 33 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 33, 'max_depth': 11, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 34 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 50, 'max_depth': 7, 'min_child_samples': 2}. Best is trial 5 with value: 0.7777777777777777.
Trial 35 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 42, 'max_depth': 13, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 36 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 16, 'max_depth': 8, 'min_child_samples': 4}. Best is trial 5 with value: 0.7777777777777777.
Trial 37 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 72, 'max_depth': 5, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 38 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 82, 'max_depth': 10, 'min_child_samples': 4}. Best is trial 5 with value: 0.7777777777777777.
Trial 39 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 34, 'max_depth': 7, 'min_child_samples': 2}. Best is trial 5 with value: 0.7777777777777777.
Trial 40 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 58, 'max_depth': 15, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 41 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 54, 'max_depth': 10, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 42 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 64, 'max_depth': 11, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 43 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 47, 'max_depth': 9, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 44 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 54, 'max_depth': 7, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 45 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 25, 'max_depth': 12, 'min_child_samples': 4}. Best is trial 5 with value: 0.7777777777777777.
Trial 46 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 45, 'max_depth': 9, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 47 finished with value: 0.7777777777777777 and parameters: {'num_leaves': 39, 'max_depth': 5, 'min_child_samples': 3}. Best is trial 5 with value: 0.7777777777777777.
Trial 48 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 88, 'max_depth': 11, 'min_child_samples': 4}. Best is trial 5 with value: 0.7777777777777777.
Trial 49 finished with value: 0.7555555555555555 and parameters: {'num_leaves': 73, 'max_depth': 8, 'min_child_samples': 2}. Best is trial 5 with value: 0.7777777777777777.
A new study created in memory with name: PCA_LR
Trial 0 finished with value: 0.9333333333333332 and parameters: {'l1_ratio': 0.3444880144448632, 'C': 0.045375072183047115}. Best is trial 0 with value: 0.9333333333333332.
Trial 1 finished with value: 0.9333333333333332 and parameters: {'l1_ratio': 0.36893471699311176, 'C': 0.04740980661457423}. Best is trial 0 with value: 0.9333333333333332.
